title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
3.50 Marla Brand New House For Sale Tramari Chock Lehtrar Road Islamabad  best Location  Serious Buyers Contact,PKR 85 Lakh,8500000,2,3,3 Marla,675.0,12592,House,False,10,"PKR85 LakhTaramrri, Islamabad233 MarlaAdded: 4 days ago(Updated: 2 days ago)SMSCall",83,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_taramrri_3_50_marla_brand_new_house_for_sale_tramari_chock_lehtrar_road_islamabad_best_location_serious_buyers_contact-54362876-3500-1.html
3 Marla Structure House For Sale In Rehman Town,PKR 50 Lakh,5000000,,,3 Marla,675.0,7407,House,False,6,"PKR50 LakhJhangi Syedan, Islamabad3 MarlaAdded: 5 days ago(Updated: 12 hours ago)SMSCall",88,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_jhangi_syedan_3_marla_structure_house_for_sale_in_rehman_town-54501773-8851-1.html
3 Marla Single Storey House Available For Sale H 13,PKR 75 Lakh,7500000,1,2,3 Marla,675.0,11111,House,False,10,"PKR75 LakhH-13, Islamabad123 MarlaAdded: 5 days ago(Updated: 12 hours ago)SMSCall",81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_h-13_3_marla_single_storey_house_available_for_sale_h_13-54348404-1039-1.html
Your Dream 3 Marla House Is Available In Opposite I-14,PKR 1.2 Crore,12000000,3,4,3 Marla,675.0,17777,House,False,19,"PKR1.2 CroreI-14, Islamabad343 MarlaAdded: 5 days ago(Updated: 12 hours ago)SMSCall",83,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_i-14_your_dream_3_marla_house_is_available_in_opposite_i-14-54080274-1045-1.html
3 Marla Double Storey House Near Zong Head Office,PKR 1.1 Crore,11000000,4,2,3 Marla,675.0,16296,House,False,13,"PKR1.1 CroreKuri Road, Islamabad423 MarlaAdded: 6 days ago(Updated: 2 days ago)SMSCall",86,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_kuri_road_3_marla_double_storey_house_near_zong_head_office-54493763-10322-1.html
G11 HOUSE FOR SALE DOBUL STORY,PKR 2.9 Crore,29000000,3,3,3 Marla,675.0,42962,House,False,7,"PKR2.9 CroreG-11/3, G-11333 MarlaAdded: 1 week ago(Updated: 12 hours ago)SMSCall",80,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/g_11_g-11_3_g11_house_for_sale_dobul_story-54386741-3332-1.html
"Ideal 3 Marla House Available In Paradise Villa Apartments, Islamabad",PKR 1.5 Crore,15000000,3,3,3 Marla,675.0,22222,House,False,,"PKR1.5 CroreParadise Villa Apartments, D-17333 MarlaAdded: 1 week ago(Updated: 12 hours ago)SMSCall",99,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/d_17_paradise_villa_apartments_ideal_3_marla_house_available_in_paradise_villa_apartments_islamabad-54481575-11039-1.html
Chatta Bakhtawar Triple Storey House For Sale  Near To Green Avenue Park Road,PKR 1.5 Crore,15000000,7,,3 Marla,675.0,22222,House,False,8,"PKR1.5 CroreChatha Bakhtawar, Islamabad73 MarlaAdded: 2 weeks ago(Updated: 2 days ago)SMSCallEmail",98,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_chatha_bakhtawar_chatta_bakhtawar_triple_storey_house_for_sale_near_to_green_avenue_park_road-54396638-3153-1.html
Model Valley 2.5 Marla House For Sale On Very Low Price,PKR 47 Lakh,4700000,2,2,3 Marla,675.0,6962,House,False,20,"PKR47 LakhJhangi Syedan, Islamabad223 MarlaAdded: 3 weeks ago(Updated: 1 week ago)SMSCall",89,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_jhangi_syedan_model_valley_2_5_marla_house_for_sale_on_very_low_price-54094783-8851-1.html
Brand New 3 Marla Double Storey House for Sale Park Road Islamabad,PKR 1.5 Crore,15000000,4,4,3 Marla,675.0,22222,House,False,21,"PKR1.5 CrorePark Road, Islamabad443 MarlaAdded: 3 weeks ago(Updated: 1 week ago)SMSCall",87,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_park_road_brand_new_3_marla_double_storey_house_for_sale_park_road_islamabad-54244110-3485-1.html
Triple Storey Corner House With 70K Rental Income-Best Investment Opportunity In H-13,PKR 1.25 Crore,12500000,6,5,3 Marla,675.0,18518,House,False,21,"PKR1.25 CroreH-13, Islamabad653 MarlaAdded: 3 weeks ago(Updated: 1 week ago)SMSCall",83,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_h-13_triple_storey_corner_house_with_70k_rental_income-best_investment_opportunity_in_h-13-54185213-1039-1.html
Prime Location 20 Marla House In Beautiful Location Of Top City 1,PKR 7.4 Crore,74000000,6,7,1 Kanal,4500.0,16444,House,True,22,super hot22Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_top_city_1_prime_location_20_marla_house_in_beautiful_location_of_top_city_1-54192013-1383-1.html
70 Feet Road 7 Marla (30x60) House For Sale In G-13/3 Islamabad,PKR 6.9 Crore,69000000,6,6,7 Marla,1575.0,43809,House,True,28,super hot28Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_g-13_70_feet_road_7_marla_30x60_house_for_sale_in_g-13_3_islamabad-53819596-330-1.html
